Header_line;17
location;Oslo Norway
year_of_construction;1979
floor_area;8631
number_of_users;400
building_category;Sch
energy_label;B
dhw_heat_source;EB
sh_heat_source;ASHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8138

;Electricity import;Electricity use;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity imported ;Electricity for electric boiler;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElImp;ElBoil;Tout;SolGlob;WindSpd;WindDir;RH
2016-01-06T09:00:00+0100;325200.0;215200.0;-12.762518310546852;7.866666666666666;0.79134;72.32805;0.84006244
2016-01-06T10:00:00+0100;314400.0;208400.0;-11.150885009765602;53.85777777777778;1.0755442;59.31427;0.88451123
2016-01-06T11:00:00+0100;304400.0;200400.0;-10.267584228515602;92.49777777777778;0.86607736;57.184296;0.81007826
2016-01-06T12:00:00+0100;310800.0;204800.0;-9.589453124999975;104.53333333333332;1.0245311;75.72209;0.7692621
2016-01-06T13:00:00+0100;303200.0;201200.0;-9.263006591796852;86.11555555555556;1.158729;79.33282;0.7370505
2016-01-06T14:00:00+0100;287600.0;189600.0;-9.130804443359352;42.59555555555556;1.1212766;80.4586;0.7174584
2016-01-06T15:00:00+0100;212400.0;126400.0;-9.329046630859352;2.6666666666666665;1.284751;82.42062;0.7177335
2016-01-06T16:00:00+0100;221200.0;131200.0;-10.161383056640602;0.0;1.6215601;76.65643;0.7644402
2016-01-06T17:00:00+0100;196800.0;118800.0;-10.610998535156227;0.0;1.4659076;70.491066;0.791738
2016-01-06T18:00:00+0100;200000.0;124000.0;-10.590887451171852;0.0;1.428481;63.796875;0.7941486
2016-01-06T19:00:00+0100;201200.0;125200.0;-10.966925048828102;0.0;1.4742471;48.7716;0.7953541
2016-01-06T20:00:00+0100;195600.0;125600.0;-11.417456054687475;0.0;1.3116659;37.76938;0.80029815
2016-01-06T21:00:00+0100;198800.0;126800.0;-11.603796386718727;1.5901890144171598e-14;1.3193744;37.331696;0.79884875
2016-01-06T22:00:00+0100;182000.0;130000.0;-12.102423095703102;1.5905833748873654e-14;1.1931274;38.791176;0.7489662
2016-01-06T23:00:00+0100;187200.0;131200.0;-11.998083496093727;1.5901874724407373e-14;1.3008968;43.475243;0.73540115
2016-01-07T00:00:00+0100;180400.0;130400.0;-11.928320312499975;1.5901847739819965e-14;1.7797949;38.726658;0.7282298
2016-01-07T01:00:00+0100;182400.0;130400.0;-11.983770751953102;1.5894014499590662e-14;1.9641057;42.027798;0.7325638
2016-01-07T02:00:00+0100;181600.0;127600.0;-11.390814208984352;1.590980433816311e-14;1.7712593;41.740253;0.7387445
2016-01-07T03:00:00+0100;178000.0;128000.0;-11.357061767578102;1.5917679982744047e-14;1.7694782;51.558792;0.7481131
2016-01-07T04:00:00+0100;185200.0;131200.0;-11.309057617187475;1.5913728668159876e-14;1.8417253;49.294266;0.7601044
2016-01-07T05:00:00+0100;180400.0;132400.0;-11.525152587890602;1.5917664562979816e-14;1.6930676;44.048252;0.77684397
2016-01-07T06:00:00+0100;199600.0;143600.0;-11.620275878906227;1.591763757839241e-14;1.9202724;18.458147;0.78134525
2016-01-07T07:00:00+0100;223600.0;157600.0;-11.383764648437475;-9.548232574966656e-14;1.6658268;36.17212;0.7843662
2016-01-07T08:00:00+0100;316800.0;214800.0;-12.801214599609352;0.0;1.7153319;47.23782;0.7976882
2016-01-07T09:00:00+0100;316800.0;208800.0;-11.526800537109352;8.102222222222222;2.0459301;50.52934;0.80220485
2016-01-07T10:00:00+0100;331200.0;211200.0;-11.388891601562475;53.04444444444445;1.5939698;43.34018;0.78184783
2016-01-07T11:00:00+0100;404400.0;220400.0;-11.112127685546852;91.68888888888888;1.7462974;49.447388;0.77417326
2016-01-07T12:00:00+0100;386400.0;208400.0;-10.798712158203102;106.52444444444444;2.2540965;33.563797;0.7478367
2016-01-07T13:00:00+0100;466400.0;280400.0;-10.174017333984352;86.59555555555555;2.34981;33.998222;0.7207526
2016-01-07T14:00:00+0100;451200.0;277200.0;-10.224035644531227;26.897777777777776;2.3783019;31.33015;0.7108346
2016-01-07T15:00:00+0100;284400.0;130400.0;-10.518743896484352;1.7777777777777777;2.4825528;35.773266;0.7200061
